TRANSACTIONID,TRANSACTIONTYPE,TRANSACTIONDATE,TRANSACTIONTIME,AMOUNT,DESCRIPTION,BANKBRANCH,VIA,ACCOUNTNO,ACCOUNTSTATE,BALANCE,BENACCOUNTNO,BENACCOUNTSTATE,DESTINATIONPREVIOUSBALANCE,DESTINATIONNEWBALANCE,SOURCEPREVIOUSBALANCE,SOURCENEWBALANCE,SOURCEPHONENUMBER,DESTINATIONPHONENUMBER,FLAG
T000001,Withdrawal,2025-11-01,06:24:00,1838,Generated transaction,BR006,Branch,ACC1000409,active,3944,ACC1004506,active,419,0,2106,3944,2812140441,1127978094,
T000002,Deposit,2025-11-02,11:42:00,4607,Generated transaction,BR015,ATM,ACC1003811,active,4924,ACC1008279,active,2661,0,317,4924,7825844140,4460967357,
T000003,Deposit,2025-11-04,08:44:00,1773,Generated transaction,BR007,ATM,ACC1004046,active,0,ACC1004054,active,1378,3151,1695,0,8934927891,7887950851,Smurfing
T000004,Withdrawal,2025-10-31,11:51:00,3110,Generated transaction,BR024,Branch,ACC1007527,active,4232,ACC1008785,active,1200,0,1122,4232,1298737106,3840104345,
T000005,Transfer,2025-11-03,07:01:00,3123,Generated transaction,BR024,ATM,ACC1001307,active,4050,ACC1003814,active,2603,0,927,4050,3783290795,4131575764,
T000006,Transfer,2025-11-01,20:37:00,4572,Generated transaction,BR015,Online,ACC1007573,dormant,4572,ACC1006216,active,1328,0,0,4572,8752612686,7017956955,Dormant-Active
T000007,Withdrawal,2025-10-31,18:04:00,1751,Generated transaction,BR030,Online,ACC1003456,active,926,ACC1009292,active,1620,0,2677,926,2137651678,7805745017,
T000008,Transfer,2025-11-06,15:20:00,1143,Generated transaction,BR010,Branch,ACC1006543,active,753,ACC1005930,active,372,0,1896,753,8217611860,3561557300,
T000009,Transfer,2025-11-02,03:41:00,4344,Generated transaction,BR044,Branch,ACC1002046,active,0,ACC1002807,active,2266,0,371,0,8519962896,2461042543,Smurfing
T000010,Withdrawal,2025-11-03,08:08:00,36,Generated transaction,BR049,Online,ACC1007123,active,3780,ACC1002591,active,2947,2983,3816,3780,7980611182,1854316681,
T000011,Deposit,2025-11-04,06:06:00,14,Generated transaction,BR020,Online,ACC1002646,active,23904,ACC1008837,active,2001,2015,26,23904,1248786714,5067116918,Abnormal-Balance
T000012,Transfer,2025-10-31,23:23:00,1040,Generated transaction,BR017,Branch,ACC1007962,active,5503,ACC1001133,active,1946,906,4463,5503,6633778586,8086172302,
T000013,Withdrawal,2025-11-05,23:27:00,2040,Generated transaction,BR015,Branch,ACC1001374,active,-55,ACC1004540,active,1384,3424,1985,-55,1945826486,9894847574,Circular
T000014,Deposit,2025-10-31,16:04:00,2716,Generated transaction,BR014,Branch,ACC1003750,active,3073,ACC1001104,active,974,3690,357,3073,3030106617,8664882079,
T000015,Withdrawal,2025-11-05,19:47:00,3541,Generated transaction,BR004,Branch,ACC1002363,active,-1501,ACC1000709,active,1683,5224,2040,-1501,3775320897,5555296751,Circular
T000016,Deposit,2025-10-31,04:12:00,1568,Generated transaction,BR030,Online,ACC1003510,active,125,ACC1000229,active,574,2142,1693,125,5618742930,1420514789,Smurfing
